교차로명,시간,차종,1,2,3,4,5,6,7,8,9,10,11,12,위도,경도
율량상리4,18:00,PCU,703,535,1551,106,382,64,751,1493,662,136,714,244,36.66214,127.511986
주성4,8:00,대형,34,9,37,4,50,39,39,11,4,26,7,11,36.675658,127.496401
주성4,8:00,소형,486,505,408,117,503,593,967,151,177,328,288,318,36.675658,127.496401
주성4,8:00,PCU,554,523,482,125,603,671,1045,173,185,380,302,340,36.675658,127.496401
주성4,13:00,대형,22,4,22,1,69,20,14,3,3,29,7,0,36.675658,127.496401
주성4,13:00,소형,232,246,294,108,395,342,468,64,68,274,245,83,36.675658,127.496401
주성4,13:00,PCU,276,254,338,110,533,382,496,70,74,332,259,83,36.675658,127.496401
주성4,18:00,대형,33,6,38,6,22,16,19,4,4,15,13,2,36.675658,127.496401
주성4,18:00,소형,293,304,844,432,1211,349,539,210,100,675,786,76,36.675658,127.496401
주성4,18:00,PCU,359,316,920,444,1255,381,577,218,108,705,812,80,36.675658,127.496401
율량육교4,8:00,대형,101,5,82,26,0,29,0,10,2,46,2,11,36.674266,127.483242
율량육교4,8:00,소형,1670,407,1123,248,0,786,0,150,128,413,41,745,36.674266,127.483242
율량육교4,8:00,PCU,1872,417,1287,300,0,844,0,170,132,505,45,767,36.674266,127.483242
율량육교4,13:00,대형,46,3,51,20,0,40,0,10,4,53,9,12,36.674266,127.483242
율량육교4,13:00,소형,844,187,958,280,0,377,0,83,121,406,114,342,36.674266,127.483242
율량육교4,13:00,PCU,936,193,1060,320,0,457,0,103,129,512,132,366,36.674266,127.483242
율량육교4,18:00,대형,94,4,130,20,0,22,0,7,6,15,0,17,36.674266,127.483242
율량육교4,18:00,소형,941,222,1875,738,0,430,0,256,96,562,118,312,36.674266,127.483242
율량육교4,18:00,PCU,1129,230,2135,778,0,474,0,270,108,592,118,346,36.674266,127.483242
정하4,8:00,대형,19,5,16,3,92,0,102,4,6,19,5,2,36.668665,127.467913
정하4,8:00,소형,158,182,40,54,1630,93,1729,58,95,137,82,88,36.668665,127.467913
정하4,8:00,PCU,196,192,72,60,1814,93,1933,66,107,175,92,92,36.668665,127.467913
정하4,13:00,대형,13,0,8,5,103,6,78,3,2,9,0,5,36.668665,127.467913
정하4,13:00,소형,63,82,34,35,1112,40,1136,64,71,155,58,53,36.668665,127.467913
정하4,13:00,PCU,89,82,50,45,1318,52,1292,70,75,173,58,63,36.668665,127.467913
정하4,18:00,대형,8,2,9,2,41,2,42,5,2,3,3,0,36.668665,127.467913
정하4,18:00,소형,84,110,107,98,1765,33,1795,100,47,382,171,36,36.668665,127.467913
정하4,18:00,PCU,100,114,125,102,1847,37,1879,110,51,388,177,36,36.668665,127.467913
하이닉스반도체4,8:00,대형,55,13,37,39,46,23,60,9,14,71,13,25,36.653656,127.435323
하이닉스반도체4,8:00,소형,597,43,517,165,561,244,726,278,364,287,63,166,36.653656,127.435323
하이닉스반도체4,8:00,PCU,707,69,591,243,653,290,846,296,392,429,89,216,36.653656,127.435323
하이닉스반도체4,13:00,대형,34,10,32,39,43,21,45,4,12,62,9,26,36.653656,127.435323
하이닉스반도체4,13:00,소형,337,45,325,101,527,213,536,181,169,191,87,104,36.653656,127.435323
하이닉스반도체4,13:00,PCU,405,65,389,179,613,255,626,189,193,315,105,156,36.653656,127.435323
하이닉스반도체4,18:00,대형,13,1,17,21,21,9,20,12,8,34,18,14,36.653656,127.435323
하이닉스반도체4,18:00,소형,457,74,622,268,771,249,885,235,313,483,76,158,36.653656,127.435323
하이닉스반도체4,18:00,PCU,483,76,656,310,813,267,925,259,329,551,112,186,36.653656,127.435323
서청주교4,8:00,대형,29,49,43,1,114,55,144,11,15,67,16,14,36.64647,127.422813
서청주교4,8:00,소형,684,1190,412,84,643,224,736,180,398,354,100,55,36.64647,127.422813
서청주교4,8:00,PCU,742,1288,498,86,871,334,1024,202,428,488,132,83,36.64647,127.422813
서청주교4,13:00,대형,40,27,22,6,76,49,92,6,11,64,26,4,36.64647,127.422813
서청주교4,13:00,소형,513,388,425,130,693,284,413,251,422,240,216,61,36.64647,127.422813
서청주교4,13:00,PCU,593,442,469,142,845,382,597,263,444,368,268,69,36.64647,127.422813
서청주교4,18:00,대형,12,27,21,3,58,19,42,5,9,22,32,13,36.64647,127.422813
서청주교4,18:00,소형,549,500,838,213,1337,322,536,394,544,273,470,44,36.64647,127.422813
서청주교4,18:00,PCU,573,554,880,219,1453,360,620,404,562,317,534,70,36.64647,127.422813
선관위4,8:00,대형,65,3,78,0,4,14,4,5,2,0,2,2,36.631216,127.426506
선관위4,8:00,소형,1115,113,1035,33,115,235,77,267,316,31,141,72,36.631216,127.426506
선관위4,8:00,PCU,1245,119,1191,33,123,263,85,277,320,31,145,76,36.631216,127.426506
선관위4,13:00,대형,63,2,35,0,0,14,0,1,0,0,0,0,36.631216,127.426506
선관위4,13:00,소형,1089,80,991,28,99,193,56,167,159,29,63,65,36.631216,127.426506
선관위4,13:00,PCU,1215,84,1061,28,99,221,56,169,159,29,63,65,36.631216,127.426506
선관위4,18:00,대형,46,2,76,0,1,7,0,0,0,0,4,0,36.631216,127.426506
선관위4,18:00,소형,1397,139,1639,115,121,297,77,211,343,73,104,88,36.631216,127.426506
선관위4,18:00,PCU,1489,143,1791,115,123,311,77,211,343,73,112,88,36.631216,127.426506
죽림4,8:00,대형,48,30,32,14,34,3,33,5,9,11,15,28,36.6127788,127.4403712
죽림4,8:00,소형,996,236,948,280,575,79,792,274,108,272,142,453,36.6127788,127.4403712
죽림4,8:00,PCU,1092,296,1012,308,643,85,858,284,126,294,172,509,36.6127788,127.4403712
죽림4,13:00,대형,23,12,38,3,16,0,12,2,8,2,19,21,36.6127788,127.4403712
죽림4,13:00,소형,617,70,658,298,349,76,362,154,92,76,125,382,36.6127788,127.4403712
죽림4,13:00,PCU,663,94,734,304,381,76,386,158,108,80,163,424,36.6127788,127.4403712
죽림4,18:00,대형,25,6,24,23,21,2,11,2,2,1,9,24,36.6127788,127.4403712
죽림4,18:00,소형,1221,99,1142,543,611,74,442,177,176,59,149,524,36.6127788,127.4403712
죽림4,18:00,PCU,1271,111,1190,589,653,78,464,181,180,61,167,572,36.6127788,127.4403712
죽림교4,8:00,대형,36,14,15,2,7,17,9,5,5,19,17,4,36.615924,127.444252
죽림교4,8:00,소형,1098,207,1019,87,265,154,444,174,106,316,129,86,36.615924,127.444252
죽림교4,8:00,PCU,1170,235,1049,91,279,188,462,184,116,354,163,94,36.615924,127.444252
죽림교4,13:00,대형,25,8,23,3,5,15,3,0,2,8,7,3,36.615924,127.444252
죽림교4,13:00,소형,569,83,640,87,194,150,128,108,109,197,75,38,36.615924,127.444252
죽림교4,13:00,PCU,619,99,686,93,204,180,134,108,113,213,89,44,36.615924,127.444252
죽림교4,18:00,대형,22,11,38,2,2,11,4,2,2,15,7,6,36.615924,127.444252
죽림교4,18:00,소형,992,144,1087,160,571,268,198,129,270,244,105,49,36.615924,127.444252
죽림교4,18:00,PCU,1036,166,1163,164,575,290,206,133,274,274,119,61,36.615924,127.444252
가마육교4,8:00,대형,92,18,95,4,0,8,0,37,46,20,11,2,36.59609,127.471779
가마육교4,8:00,소형,888,226,1366,76,3,229,1,421,266,281,461,28,36.59609,127.471779
가마육교4,8:00,PCU,1072,262,1556,84,3,245,1,495,358,321,483,32,36.59609,127.471779
가마육교4,13:00,대형,67,13,56,3,0,21,0,33,43,11,14,0,36.59609,127.471779
가마육교4,13:00,소형,681,205,625,54,3,164,3,179,125,228,245,39,36.59609,127.471779
가마육교4,13:00,PCU,815,231,737,60,3,206,3,245,211,250,273,39,36.59609,127.471779
가마육교4,18:00,대형,59,5,54,2,0,2,0,19,11,16,14,1,36.59609,127.471779
가마육교4,18:00,소형,1512,590,711,57,0,302,2,260,427,336,288,46,36.59609,127.471779
가마육교4,18:00,PCU,1630,600,819,61,0,306,2,298,449,368,316,48,36.59609,127.471779
장성4,8:00,대형,0,2,0,5,50,4,50,2,2,8,5,1,36.594628,127.486869
장성4,8:00,소형,97,113,135,29,778,111,1056,73,18,246,309,60,36.594628,127.486869
장성4,8:00,PCU,97,117,135,39,878,119,1156,77,22,262,319,62,36.594628,127.486869
장성4,13:00,대형,6,4,2,3,59,0,43,2,2,5,9,5,36.594628,127.486869
장성4,13:00,소형,92,77,89,41,457,72,548,26,23,92,145,43,36.594628,127.486869
장성4,13:00,PCU,104,85,93,47,575,72,634,30,27,102,163,53,36.594628,127.486869
장성4,18:00,대형,1,3,3,0,13,1,21,0,2,7,8,5,36.594628,127.486869
장성4,18:00,소형,239,292,89,57,1062,208,962,22,47,151,134,91,36.594628,127.486869
장성4,18:00,PCU,241,298,95,57,1088,210,1004,22,51,165,150,101,36.594628,127.486869
지북4,8:00,대형,63,12,92,2,18,32,12,9,23,63,10,8,36.597354,127.505572
지북4,8:00,소형,578,85,1182,161,299,414,322,384,163,783,205,64,36.597354,127.505572
지북4,8:00,PCU,704,109,1366,165,335,478,346,402,209,909,225,80,36.597354,127.505572
지북4,13:00,대형,65,8,51,1,18,42,3,13,5,38,6,1,36.597354,127.505572
지북4,13:00,소형,796,123,758,108,135,258,151,117,115,333,86,67,36.597354,127.505572
지북4,13:00,PCU,926,139,860,110,171,342,157,143,125,409,98,69,36.597354,127.505572
지북4,18:00,대형,39,1,40,4,1,12,3,2,8,26,2,0,36.597354,127.505572
지북4,18:00,소형,1233,208,643,53,408,740,267,148,333,607,100,163,36.597354,127.505572
지북4,18:00,PCU,1311,210,723,61,410,764,273,152,349,659,104,163,36.597354,127.505572
성안동주민센터4,8:00,대형,2,0,1,11,6,1,5,0,1,1,0,5,36.631442,127.492856
